
Ramarren;cl-geometry;closed;David Chkhikvadze;Sun May 31 18:48:08 BRT 2015;Fri Jun 05 06:20:09 BRT 2015;4;
topfunky;gruff;closed;Ryan Stenberg;Wed Jun 25 17:25:03 BRT 2014;Wed Jun 25 19:47:49 BRT 2014;0;
topfunky;gruff;closed;David Eisinger;Mon Jun 23 10:56:46 BRT 2014;Tue Jun 24 05:04:11 BRT 2014;0;
topfunky;gruff;closed;David Eisinger;Thu Jun 19 18:41:08 BRT 2014;Mon Jun 23 10:56:03 BRT 2014;3;
topfunky;gruff;closed;David Eisinger;Wed Jun 11 16:19:57 BRT 2014;Wed Jun 11 18:49:55 BRT 2014;0;
topfunky;gruff;closed;David Eisinger;Wed Jun 11 11:18:56 BRT 2014;Wed Jun 11 12:11:10 BRT 2014;0;
topfunky;gruff;open;null;Sat May 03 00:10:41 BRT 2014;null;496;
topfunky;gruff;closed;topfunky;gruff;closed;topfunky;gruff;closed;topfunky;gruff;closed;topfunky;gruff;closed;Steven Noble;Thu Sep 10 10:30:46 BRT 2015;Thu Sep 10 19:19:43 BRT 2015;0;
topfunky;gruff;open;null;Wed Sep 09 12:10:27 BRT 2015;null;1;
topfunky;gruff;open;Rune Philosof;Mon Aug 24 03:21:34 BRT 2015;null;18;
topfunky;gruff;open;Joseph Haig;Fri Aug 21 08:09:47 BRT 2015;null;21;
topfunky;gruff;open;Rune Philosof;Fri Aug 21 06:20:40 BRT 2015;null;21;
topfunky;gruff;open;Joseph Haig;Tue Aug 18 08:11:37 BRT 2015;null;24;
topfunky;gruff;open;Joseph Haig;Mon Aug 17 12:22:40 BRT 2015;null;24;
topfunky;gruff;open;Jonathan;Tue Jun 16 15:02:24 BRT 2015;null;86;
topfunky;gruff;closed;Wayne Conrad;Wed May 27 15:15:11 BRT 2015;Sat May 30 17:52:10 BRT 2015;3;
topfunky;gruff;closed;Wayne Conrad;Wed May 27 15:11:45 BRT 2015;Sat May 30 17:55:43 BRT 2015;3;
topfunky;gruff;closed;Cristian Planas;Mon May 25 15:38:13 BRT 2015;Sat May 30 18:00:21 BRT 2015;5;
topfunky;gruff;closed;Alex Rozanski;Thu May 07 13:41:43 BRT 2015;Sat May 30 18:04:57 BRT 2015;23;
topfunky;gruff;closed;Ryan Plant;Sat Apr 25 06:59:37 BRT 2015;Sat May 30 18:05:51 BRT 2015;35;
topfunky;gruff;open;Esteban Santana Santana;Fri Apr 17 23:53:24 BRT 2015;null;146;
topfunky;gruff;closed;Dean Galvin;Thu Apr 16 16:04:31 BRT 2015;Sat May 30 20:18:53 BRT 2015;44;
topfunky;gruff;open;Viktoras Laukevi?ius;Sat Apr 04 08:54:52 BRT 2015;null;160;
topfunky;gruff;open;David Cortés;Wed Mar 25 08:17:46 BRT 2015;null;170;
topfunky;gruff;closed;Valerie Maher;Sun Mar 01 14:33:42 BRT 2015;Sat May 30 19:28:15 BRT 2015;90;
topfunky;gruff;open;Michael Mior;Wed Feb 25 16:09:25 BRT 2015;null;197;
topfunky;gruff;open;David C;Wed Feb 18 23:55:20 BRST 2015;null;204;
topfunky;gruff;closed;blueplanet;Tue Oct 07 03:04:33 BRT 2014;Tue Oct 07 03:05:11 BRT 2014;0;
topfunky;gruff;closed;Jonathan;Wed Jul 30 14:23:10 BRT 2014;Tue Jun 16 15:04:58 BRT 2015;321;
topfunky;gruff;open;A.K.M. Ashrafuzzaman;Mon Jun 30 07:11:45 BRT 2014;null;438;
topfunky;gruff;closed;Ryan Stenberg;Fri Jun 27 15:32:59 BRT 2014;Wed Jun 03 04:11:40 BRT 2015;340;
topfunky;gruff;closed;Ryan Stenberg;Wed Jun 25 17:25:03 BRT 2014;Wed Jun 25 19:47:49 BRT 2014;0;
topfunky;gruff;closed;David Eisinger;Mon Jun 23 10:56:46 BRT 2014;Tue Jun 24 05:04:11 BRT 2014;0;
topfunky;gruff;closed;David Eisinger;Thu Jun 19 18:41:08 BRT 2014;Mon Jun 23 10:56:03 BRT 2014;3;
topfunky;gruff;closed;David Eisinger;Wed Jun 11 16:19:57 BRT 2014;Wed Jun 11 18:49:55 BRT 2014;0;
topfunky;gruff;closed;David Eisinger;Wed Jun 11 11:18:56 BRT 2014;Wed Jun 11 12:11:10 BRT 2014;0;
topfunky;gruff;open;null;Sat May 03 00:10:41 BRT 2014;null;496;
topfunky;gruff;closed;Geert Kapteijns;Thu Apr 24 07:30:26 BRT 2014;Sat May 30 19:36:58 BRT 2015;401;
topfunky;gruff;open;Andrew Clarke;Mon Apr 14 02:16:45 BRT 2014;null;515;
topfunky;gruff;closed;Andrew Clarke;Mon Apr 14 02:07:46 BRT 2014;Sat May 30 19:47:43 BRT 2015;411;
topfunky;gruff;open;null;Mon Apr 07 16:28:57 BRT 2014;null;521;
topfunky;gruff;open;null;Sat Mar 01 10:08:09 BRT 2014;null;558;
topfunky;gruff;closed;Jesse House;Fri Feb 07 16:19:05 BRST 2014;Fri Aug 28 19:45:42 BRT 2015;567;
topfunky;gruff;open;Adam;Wed Jan 29 17:21:15 BRST 2014;null;589;
topfunky;gruff;open;Alex;Wed Jan 29 16:04:13 BRST 2014;null;589;
topfunky;gruff;open;A.K.M. Ashrafuzzaman;Tue Jan 28 03:42:41 BRST 2014;null;591;
topfunky;gruff;open;Jonathan McCann;Wed Nov 27 12:12:44 BRST 2013;null;652;
topfunky;gruff;closed;null;Sat Nov 16 13:18:35 BRST 2013;Sat May 30 20:05:53 BRT 2015;560;
topfunky;gruff;closed;Adam Trilling;Wed Oct 30 12:38:52 BRST 2013;Fri Jan 17 22:26:09 BRST 2014;79;
topfunky;gruff;open;Adam Trilling;Mon Oct 28 14:24:11 BRST 2013;null;682;
topfunky;gruff;closed;Uwe Kubosch;Tue Oct 22 19:01:18 BRST 2013;Tue Oct 22 19:09:22 BRST 2013;0;
topfunky;gruff;closed;Uwe Kubosch;Tue Oct 22 16:59:47 BRST 2013;Sat May 30 20:22:46 BRT 2015;585;
topfunky;gruff;closed;jtripper;Tue Oct 22 14:43:01 BRST 2013;Tue Oct 22 15:41:19 BRST 2013;0;
topfunky;gruff;closed;Uwe Kubosch;Tue Oct 22 14:14:53 BRST 2013;Tue Oct 22 14:29:38 BRST 2013;0;
topfunky;gruff;closed;Robin Wood;Sat Sep 28 16:59:22 BRT 2013;Sat May 30 20:15:09 BRT 2015;609;
topfunky;gruff;open;Maurizio De Santis;Mon Sep 23 10:46:57 BRT 2013;null;717;
topfunky;gruff;closed;J W;Mon Sep 16 19:20:40 BRT 2013;Tue Sep 17 02:53:13 BRT 2013;0;
topfunky;gruff;open;Steven Noble;Thu Aug 15 22:11:52 BRT 2013;null;756;
topfunky;gruff;open;Uwe Kubosch;Mon Aug 05 08:08:18 BRT 2013;null;767;
topfunky;gruff;open;Uwe Kubosch;Mon Aug 05 06:49:22 BRT 2013;null;767;
topfunky;gruff;open;Uwe Kubosch;Mon Aug 05 06:39:01 BRT 2013;null;767;
topfunky;gruff;closed;Uwe Kubosch;Sun Aug 04 05:23:53 BRT 2013;Sun Aug 04 05:33:24 BRT 2013;0;
topfunky;gruff;closed;Uwe Kubosch;Sat Aug 03 03:05:18 BRT 2013;Sat Aug 03 05:31:32 BRT 2013;0;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 16:18:41 BRT 2013;null;769;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:06:50 BRT 2013;null;770;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:05:50 BRT 2013;null;770;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:04:47 BRT 2013;null;770;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:03:56 BRT 2013;null;770;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:03:12 BRT 2013;null;770;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:02:24 BRT 2013;null;770;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:01:24 BRT 2013;null;770;
topfunky;gruff;open;Uwe Kubosch;Fri Aug 02 09:00:05 BRT 2013;null;770;
