
mascarenhas;luaclr;open;Andrew Pennebaker;Thu Dec 06 17:45:47 BRST 2012;null;1038;
ctran;annotate_models;closed;Kazuyuki Ikeda;Sat Aug 09 12:33:18 BRT 2014;Sat Aug 09 17:16:13 BRT 2014;0;
ctran;annotate_models;closed;Karthik T;Sun Aug 03 02:21:48 BRT 2014;Sun Aug 03 02:59:34 BRT 2014;0;
ctran;annotate_models;closed;Andrew Snow;Sun Jul 27 19:32:35 BRT 2014;Tue Aug 05 01:07:54 BRT 2014;8;
ctran;annotate_models;closed;null;Wed Jul 23 23:22:37 BRT 2014;Wed Mar 04 02:48:27 BRT 2015;223;
ctran;annotate_models;open;Karthik T;Thu Jul 10 04:20:50 BRT 2014;null;457;
ctran;annotate_models;open;Remo Fritzsche;Tue Jul 08 09:04:50 BRT 2014;null;459;
ctran;annotate_models;closed;Michiel de Mare;Fri Jun 20 09:31:10 BRT 2014;Mon Jun 23 02:58:36 BRT 2014;2;
ctran;annotate_models;closed;Abdelkader Boudih;Sat Jun 14 12:33:38 BRT 2014;Sun Jun 15 01:48:24 BRT 2014;0;
ctran;annotate_models;closed;Cuong Tran;Fri Jun 13 23:27:35 BRT 2014;Sun Jun 15 01:48:40 BRT 2014;1;
ctran;annotate_models;closed;Maxim Derbin;Thu Jun 12 09:39:31 BRT 2014;Fri Jun 13 23:21:17 BRT 2014;1;
ctran;annotate_models;closed;Emil Kampp;Wed Jun 11 15:44:25 BRT 2014;Fri Jun 13 23:21:56 BRT 2014;2;
ctran;annotate_models;closed;Sami Haahtinen;Sun Jun 08 15:51:04 BRT 2014;Sun Mar 08 07:42:38 BRT 2015;272;
ctran;annotate_models;closed;John Jensen;Thu Jun 05 18:00:19 BRT 2014;Mon Jun 09 19:12:38 BRT 2014;4;
ctran;annotate_models;open;Bob Blanton;Sat May 31 19:12:21 BRT 2014;null;497;
ctran;annotate_models;open;Matt;Wed May 28 10:45:15 BRT 2014;null;500;
ctran;annotate_models;closed;Andriy Tyurnikov;Tue May 27 12:40:32 BRT 2014;Sun Jun 15 01:50:40 BRT 2014;18;
ctran;annotate_models;closed;Waynn Lue;Fri May 09 14:52:19 BRT 2014;Sun May 11 18:18:57 BRT 2014;2;
ctran;annotate_models;closed;Matt;Wed May 07 10:50:31 BRT 2014;Mon May 26 20:30:24 BRT 2014;19;
ctran;annotate_models;closed;Waynn Lue;Wed May 07 01:47:47 BRT 2014;Fri May 09 14:52:34 BRT 2014;2;
ctran;annotate_models;open;Pablo Ruiz;Tue Apr 29 20:23:49 BRT 2014;null;529;
ctran;annotate_models;closed;Jon;Tue Apr 22 18:05:19 BRT 2014;Tue Apr 22 18:07:53 BRT 2014;0;
ctran;annotate_models;closed;newlix;Tue Apr 22 00:24:00 BRT 2014;Mon May 26 20:38:25 BRT 2014;34;
ctran;annotate_models;closed;Vlad Bokov;Fri Apr 18 13:32:40 BRT 2014;Mon Apr 21 20:52:22 BRT 2014;3;
ctran;annotate_models;closed;Erick Guan;Fri Apr 18 01:12:04 BRT 2014;Fri Apr 18 07:44:38 BRT 2014;0;
ctran;annotate_models;closed;Rob;Thu Apr 17 13:37:17 BRT 2014;Thu Apr 17 14:46:37 BRT 2014;0;
ctran;annotate_models;open;No GUI;Sat Apr 12 23:59:49 BRT 2014;null;545;
ctran;annotate_models;closed;PikachuEXE;Sun Apr 06 22:24:58 BRT 2014;Mon Apr 07 20:51:18 BRT 2014;0;
ctran;annotate_models;closed;null;Thu Apr 03 08:40:55 BRT 2014;Sat Apr 05 03:06:12 BRT 2014;1;
ctran;annotate_models;closed;Naoyoshi Aikawa;Wed Apr 02 23:28:40 BRT 2014;Sat Apr 05 01:53:05 BRT 2014;2;
ctran;annotate_models;closed;Naoyoshi Aikawa;Wed Apr 02 23:17:10 BRT 2014;Wed Apr 02 23:28:25 BRT 2014;0;
ctran;annotate_models;closed;Emil Kampp;Mon Mar 17 04:22:04 BRT 2014;Fri Jun 13 23:21:56 BRT 2014;88;
ctran;annotate_models;closed;Lucas Charles;Fri Mar 14 16:49:48 BRT 2014;Sun Mar 08 07:35:10 BRT 2015;358;
ctran;annotate_models;closed;Marcin Raczkowski;Thu Mar 13 23:05:11 BRT 2014;Sat Mar 15 20:37:27 BRT 2014;1;
ctran;annotate_models;closed;Alessandro Tagliapietra;Fri Mar 07 11:57:37 BRT 2014;Tue Aug 05 04:11:14 BRT 2014;150;
ctran;annotate_models;closed;Gert Goet;Fri Mar 07 09:58:18 BRT 2014;Mon Apr 21 21:27:01 BRT 2014;45;
ctran;annotate_models;closed;null;Wed Mar 05 23:26:07 BRT 2014;Mon Apr 21 20:57:02 BRT 2014;46;
ctran;annotate_models;closed; songjiayang;Tue Mar 04 00:03:50 BRT 2014;Fri Apr 10 17:24:19 BRT 2015;402;
ctran;annotate_models;closed;null;Fri Feb 21 18:15:52 BRT 2014;Mon Feb 24 00:18:11 BRT 2014;2;
ctran;annotate_models;closed;Marcin Raczkowski;Mon Feb 17 08:19:38 BRT 2014;Mon Feb 24 11:15:00 BRT 2014;7;
ctran;annotate_models;closed;Ivan Vega;Sat Feb 08 18:52:41 BRST 2014;Mon Feb 24 00:06:32 BRT 2014;15;
ctran;annotate_models;closed;Aghyad Saleh;Wed Feb 05 19:07:13 BRST 2014;Thu Feb 06 17:28:53 BRST 2014;0;
ctran;annotate_models;closed;Stephen Reid;Tue Jan 28 19:31:44 BRST 2014;Wed Feb 26 10:10:36 BRT 2014;28;
ctran;annotate_models;closed;Frank Macreery;Mon Jan 20 19:52:15 BRST 2014;Mon Jan 27 00:11:33 BRST 2014;6;
