






KirinDave;fuzed-old;open;Deleted user;Tue Jan 21 16:09:17 BRST 2014;null;627;
collectiveidea;awesome_nested_set;open;eddie;Wed Oct 08 02:10:39 BRT 2014;null;367;
collectiveidea;awesome_nested_set;closed;eddie;Fri Oct 03 23:21:19 BRT 2014;Sun Jan 04 20:24:04 BRST 2015;92;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Thu Sep 11 14:57:38 BRT 2014;Wed Feb 18 11:20:00 BRST 2015;159;
collectiveidea;awesome_nested_set;closed;Jared Beck;Wed Sep 03 11:51:04 BRT 2014;Sun Jan 04 19:24:33 BRST 2015;123;
collectiveidea;awesome_nested_set;closed;Kuldeep Aggarwal;Fri Aug 29 19:06:36 BRT 2014;Sat Aug 30 07:48:47 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;null;Wed Aug 20 10:53:38 BRT 2014;Thu Aug 21 07:28:12 BRT 2014;0;
collectiveidea;awesome_nested_set;open;null;Mon Aug 18 09:33:56 BRT 2014;null;418;
collectiveidea;awesome_nested_set;open;Toshi MARUYAMA;Tue Jul 22 02:51:06 BRT 2014;null;445;
collectiveidea;awesome_nested_set;open;null;Fri Jul 18 10:52:12 BRT 2014;null;449;
collectiveidea;awesome_nested_set;closed;Ryan Siddle;Sun Jul 13 14:03:20 BRT 2014;Mon Jul 14 05:19:06 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Sun Jul 13 13:40:06 BRT 2014;Tue Mar 03 00:01:50 BRT 2015;232;
collectiveidea;awesome_nested_set;open;Linus Pettersson;Mon Jul 07 09:55:55 BRT 2014;null;460;
collectiveidea;awesome_nested_set;closed;Jordan Brough;Mon Jun 30 16:43:33 BRT 2014;Tue Jul 01 11:35:24 BRT 2014;0;
collectiveidea;awesome_nested_set;open;Donovan BENFOUZARI;Mon Jun 30 10:05:11 BRT 2014;null;467;
collectiveidea;awesome_nested_set;closed;Jordan Brough;Wed Jun 25 15:16:29 BRT 2014;Sun Jun 29 18:34:41 BRT 2014;4;
collectiveidea;awesome_nested_set;open;Bradley Herman;Tue Jun 24 16:57:54 BRT 2014;null;473;
collectiveidea;awesome_nested_set;open;Joel Nimety;Fri Jun 06 15:58:16 BRT 2014;null;491;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Sat May 24 09:56:21 BRT 2014;Sat May 24 10:09:29 BRT 2014;0;
collectiveidea;awesome_nested_set;open;Michael Minter;Sat May 17 18:49:01 BRT 2014;null;510;
collectiveidea;awesome_nested_set;open;null;Fri May 16 20:43:37 BRT 2014;null;511;
collectiveidea;awesome_nested_set;open;Mike Myat Min Han;Sun May 11 07:27:09 BRT 2014;null;517;
collectiveidea;awesome_nested_set;closed;Dave Newton;Fri May 09 19:38:14 BRT 2014;Sat May 10 03:28:33 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;Evandro Magalhães;Wed May 07 19:13:59 BRT 2014;Fri May 09 03:41:19 BRT 2014;1;
collectiveidea;awesome_nested_set;open;null;Wed May 07 17:33:31 BRT 2014;null;521;
collectiveidea;awesome_nested_set;closed;Evandro Magalhães;Wed May 07 17:33:14 BRT 2014;Wed May 07 19:16:36 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;Evandro Magalhães;Wed May 07 16:53:01 BRT 2014;Wed May 07 18:01:23 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;z;Tue May 06 13:05:26 BRT 2014;Tue May 06 15:13:40 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;z;Fri May 02 14:05:28 BRT 2014;Mon Feb 09 13:03:59 BRST 2015;282;
collectiveidea;awesome_nested_set;closed;Alexandros Giouzenis;Tue Apr 29 17:16:55 BRT 2014;Sat May 17 07:01:22 BRT 2014;17;
collectiveidea;awesome_nested_set;open;Marcin Lewandowski;Mon Apr 28 08:01:45 BRT 2014;null;530;
collectiveidea;awesome_nested_set;closed;Micah Geisel;Wed Apr 23 00:16:49 BRT 2014;Wed Apr 23 02:30:06 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;Manuel Rüger;Fri Apr 18 19:36:05 BRT 2014;Sun Apr 27 16:18:35 BRT 2014;8;
collectiveidea;awesome_nested_set;closed;Josef Šimánek;Tue Apr 15 08:54:23 BRT 2014;Tue Apr 15 09:42:29 BRT 2014;0;
collectiveidea;awesome_nested_set;closed;null;Mon Apr 14 04:59:10 BRT 2014;Sun Apr 27 16:32:35 BRT 2014;13;
collectiveidea;awesome_nested_set;closed;null;Mon Apr 14 04:43:11 BRT 2014;Sun Apr 27 16:47:08 BRT 2014;13;
collectiveidea;awesome_nested_set;closed;null;Fri Apr 11 13:16:06 BRT 2014;Sun Apr 27 17:00:07 BRT 2014;16;
collectiveidea;awesome_nested_set;closed;José Duarte;Fri Apr 11 12:51:27 BRT 2014;Fri Apr 11 13:06:00 BRT 2014;0;
collectiveidea;awesome_nested_set;open;Isaac Freeman;Thu Apr 10 01:48:21 BRT 2014;null;548;
collectiveidea;awesome_nested_set;closed;null;Fri Apr 04 12:32:42 BRT 2014;Sat Apr 05 02:57:35 BRT 2014;0;
collectiveidea;awesome_nested_set;open;null;Thu Apr 03 18:45:04 BRT 2014;null;554;
collectiveidea;awesome_nested_set;open;Toshi MARUYAMA;Wed Mar 26 08:10:03 BRT 2014;null;563;
collectiveidea;awesome_nested_set;closed;Joshua Kovach;Tue Mar 11 00:47:02 BRT 2014;Wed Mar 26 09:31:45 BRT 2014;15;
collectiveidea;awesome_nested_set;open;null;Tue Mar 04 20:12:42 BRT 2014;null;584;
collectiveidea;awesome_nested_set;closed;Joshua Kovach;Mon Feb 24 13:56:04 BRT 2014;Wed Mar 26 09:31:45 BRT 2014;29;
collectiveidea;awesome_nested_set;closed;null;Wed Feb 05 06:48:29 BRST 2014;Sun Apr 27 17:00:17 BRT 2014;81;
collectiveidea;awesome_nested_set;closed;Phillip Mulligan;Tue Feb 04 20:37:00 BRST 2014;Mon Apr 28 01:23:44 BRT 2014;82;
collectiveidea;awesome_nested_set;closed;Sören Mothes;Tue Jan 28 08:59:12 BRST 2014;Sun Apr 27 16:58:01 BRT 2014;89;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Fri Jan 24 05:31:43 BRST 2014;Sun Apr 27 16:57:25 BRT 2014;93;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Fri Jan 24 04:08:38 BRST 2014;Sun Apr 27 16:56:58 BRT 2014;93;
collectiveidea;awesome_nested_set;open;Zach Hamman;Thu Jan 23 12:18:53 BRST 2014;null;625;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Wed Jan 22 03:47:56 BRST 2014;Wed Jan 22 14:44:02 BRST 2014;0;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Wed Jan 22 03:42:31 BRST 2014;Wed Jan 22 14:41:51 BRST 2014;0;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Wed Jan 22 03:18:22 BRST 2014;Wed Jan 22 14:41:28 BRST 2014;0;
collectiveidea;awesome_nested_set;closed;Toshi MARUYAMA;Wed Jan 22 00:41:27 BRST 2014;Fri Jan 24 05:32:30 BRST 2014;2;
