Nome;Quantidade
 Ruby 2 Problem ;3
 Ruby 2.0 ;11
 Ruby 2.0 ;4
 Ruby 2.1 ;2
 Ruby 2.2 ;5
 ruby19 ;13
 ruby19 ;4
 ruby19 ;3
 ruby19 ;3
 ruby19 ;1
 ruby19 ;1
 Rubydoc.info ;1
 rubygems ;13
 ruby-processing-2.6.0 ;1
 ruby-version-difference ;2
 Safari ;5
 safari ;2
 samples ;1
 sass-extension ;3
 saturnflyer ;20
 sax ;4
 scalability ;12
 scheduler ;14
 screw.unit ;2
 scripting ;1
 scss ;6
 search ;2
 security ;7
 security ;4
 Security ;4
 security ;4
 security ;3
 security ;1
 security ;1
 semantic ;13
 sequel orm layer ;2
 server ;1
 Server/Apache ;25
 Server/Nginx ;22
 severity: minor;1
 Short term ;2
 Skins ;4
 smell ;27
 Solaris ;1
 solaris ;1
 spec ;21
 specs ;12
 specs ;4
 spinach ;1
 Spoof related ;19
 sprites ;47
 sql ;8
 sqlite3 ;17
 ssl ;22
 stale ;265
 Stale ;1
 stalled ;10
 Stats ;3
 status — accepted ;35
 status — feedback required ;6
 status — rejected ;13
 stdlib ;31
 steps ;17
 stories ;18
 style ;14
 Styling Problem ;19
 SublimeLinter ;13
 suggestion ;5
 suggestion ;3
 suggestion ;2
 support ;25
 support ;9
 Support ;8
 support ;4
 support ;4
 support ;1
 support ;1
 Support - Pending Response ;4
 Support request ;15
 support scripts ;2
 system setup ;5
 table ;8
 task ;20
 Task ;10
 task ;5
 task ;5
 task ;2
 task ;2
 task ;2
 task ;1
 teamdemo ;1
 Tech/WebSocket ;8
 techdebt ;2
 technical debt ;3
 template ;1
 templates ;30
 tenderlove ;63
 Test ;6
 test ;1
 Test after listen integration ;5
 Testing ;2
 testing ;2
 tests ;8
 tests ;2
 Tests Need Attention ;14
 tests needed ;2
 test-unit ;10
 testunit2 ;2
 Theme ;46
 thinking ;7
 third party issue ;20
 Third Party Issue ;2
 ThirdParty ;18
 third-party ;4
 threads ;1
 timers ;4
 todo ;36
 todo ;20
 todo ;9
 todo ;5
 TODO ;4
 TODO ;4
 todo ;4
 todo ;3
 TODO ;3
 todo ;2
 TODO ;2
 todo ;2
 todo ;1
 todo ;1
 TODO for v 0.0.4 ;3
 tools ;77
 Tools ;3
 trac ;9
 tracking ;1
 transaction integrity ;17
 tutorials ;6
 tvdb_api ;4
 tvnamer ;1
 type — bug ;26
 type — feature request ;30
 Types ;8
 udp ;1
 ui ;7
 UI ;2
 ui ;1
 ui improvement ;6
 ULTRA-solved ;4
 Unassigned ;4
 unclear ;2
 unconfirmed ;24
 unconfirmed ;7
 unconfirmed ;1
 uncool ;1
 uncritical ;2
 under-investigation ;1
 unicode ;3
 UnionStation ;4
 unverified ;224
 unverified ;3
 unverified bug ;8
 upgrade ;1
 upstream ;24
 Upstream ;1
 URI Templates ;1
 usability ;34
 Usability ;34
 Usability ;22
 usability ;9
 usability ;2
 user story ;1
 user-error ;5
 utils ;2
 ux ;17
 UX/UI ;139
 v0.10 ;13
 v0.6.0 ;4
 v0.7.0 ;1
 v0.7.1 ;1
 v0.8.0 ;2
 v2 ;3
 v2.x ;1
 v2.x.x ;17
 v3 ;15
 v3.0.x ;109
 v3.0.X ;2
 v3.1.x ;22
 v3.1.X ;21
 v3.2.X ;16
 v3.x ;2
 variable ;2
 vc6 ;2
 verified ;31
 version ;2
 view patch ;6
 Visual design ;1
 visuals ;3
 vmware ;1
 waiting ;14
 waiting ;4
 waiting ;1
 waiting ;1
 waiting for feedback ;6
 waiting for feedbacks ;1
 waiting for more info ;3
 Waiting for reply ;1
 waiting on response ;14
 watir2 ;8
 waves 0.9.0 ;6
 wcml ;6
 web ;6
 web services ;3
 WebKit ;1
 website ;1
 website ;1
 Whitespace ;11
 widgets ;2
 will-close ;1
 willfix ;21
 will-fix ;4
 win32 ;20
 win32 ;12
 windows ;12
 windows ;10
 Windows ;6
 windows ;5
 windows ;2
 windows ;1
 windows ;1
 windows ;1
 windows ;1
 Windows ;1
 windows ;1
 windows compatibility ;1
 windows-specific ;2
 Winner ;2
 wip ;2
 WIP ;2
 WIP ;1
 WIP ;1
 wish ;3
 Wish ;3
 wish ;2
 wish ;1
 wishlist ;62
 Wishlist ;14
 wishlist ;7
 Wishlist ;2
 With reproduction steps ;74
 wkml ;7
 wont fix ;2
 won't fix ;62
 won't fix ;2
 Won't Fix ;1
 Won't fix ;1
 Won't Fix ;1
 wontfix ;29
 wontfix ;19
 WontFix ;18
 wontfix ;18
 wontfix ;4
 wontfix ;4
 wontfix ;3
 wontfix ;2
 wontfix ;2
 Wontfix ;1
 wontfix ;1
 wontfix ;1
 wontfix ;1
 wontfix ;1
 wont-fix ;2
 wont-fix ;1
 won-t-fix ;1
 workaround ;1
 working as intended ;13
 working on it ;3
 works_for_me ;30
 worksforme ;11
 wrongtracker ;16
 wxml ;1
 x-browser-bug ;6
 XeTeX ;2
 zinc ;9
 zlib ;1
#NOME?;117
