Indice;User;Repository;IssuesAbertos;IssuesFechados;IssuesBugAbertos;IssuesBugFechados;Followers ;Following ;Forks;Watchers;Kilobytes;MB;NIssues;RangeIssue;IssuesMB
665;nmariz;xmlgenerator;1;0;0;0;29;56;1;6;454;0,44;1;Não Contem Issue;2,255506608
666;jasonroelofs;ogrerb;0;1;0;0;50;13;6;41;13008;12,7;1;Não Contem Issue;0,078720787
667;ryanb;nifty-generators;67;100;0;0;6351;95;308;2049;807;0,79;167;Contem Issue;211,905824
668;schleyfox;peach;5;5;0;0;54;12;9;76;146;0,14;10;Contem Issue;70,1369863
669;drnic;dr-nic-magic-models;1;1;0;0;1448;13;7;23;563;0,55;2;Não Contem Issue;3,637655417
670;jamtur01;redmine_tab;6;11;0;0;484;11;22;45;182;0,18;17;Contem Issue;95,64835165
671;ctcherry;modalbox_confirm;0;3;0;0;20;8;3;21;127;0,12;3;Não Contem Issue;24,18897638
672;weppos;www-delicious;22;2;1;0;188;2;17;66;634;0,62;24;Contem Issue;38,76340694
673;eml;java-mogilefs;1;0;0;0;6;6;10;17;603;0,59;1;Não Contem Issue;1,698175788
674;shuber;curl;9;6;0;0;77;96;118;286;484;0,47;15;Contem Issue;31,73553719
675;rdpeng;filehash;1;7;0;0;2259;3;31;11;778;0,76;8;Contem Issue;10,52956298
676;erikhuda;thor;144;351;0;0;0;0;329;2927;6956;6,79;495;Contem Issue;72,86946521
677;codahale;bcrypt-ruby;20;99;0;0;1233;0;122;788;679;0,66;119;Contem Issue;179,4639175
678;edavis10;redmine-customer-plugin;3;1;0;0;373;0;31;61;188;0,18;4;Não Contem Issue;21,78723404
679;awk;iontv;1;0;0;0;7;0;2;7;43611;42,59;1;Não Contem Issue;0,023480315
680;mzp;scheme-abc;0;1;0;0;177;45;0;7;7772;7,59;1;Não Contem Issue;0,131755018
681;Fingertips;passengerpane;21;55;0;0;0;0;43;630;11773;11,5;76;Contem Issue;6,610379682
682;tuffy;python-audio-tools;34;17;0;0;3;0;29;100;28507;27,84;51;Contem Issue;1,831971095
683;Shopify;liquid;39;611;0;0;0;0;495;3613;7997;7,81;650;Contem Issue;83,2312117
684;mdeiters;semr;0;1;0;0;90;34;5;31;908;0,89;1;Não Contem Issue;1,127753304
685;jwiegley;emacs-chess;8;1;0;0;459;0;7;31;9422;9,2;9;Contem Issue;0,978136277
686;markoa;r2flickr;2;0;0;0;48;22;4;22;158;0,15;2;Não Contem Issue;12,96202532
687;joshuamiller;cartographer;12;7;0;0;20;0;38;75;184;0,18;19;Contem Issue;105,7391304
688;manveru;ramaze;1;8;0;0;194;18;61;221;10058;9,82;9;Contem Issue;0,916285544
689;kernow;javascript_auto_include;1;0;0;0;22;7;11;19;108;0,11;1;Não Contem Issue;9,481481481
690;TekNoLogic;Quecho;0;8;0;0;0;0;2;2;168;0,16;8;Contem Issue;48,76190476
691;ryanb;railscasts;25;35;0;0;6352;95;193;756;1900;1,86;60;Contem Issue;32,33684211
692;technolize;zsh-completions;1;1;0;0;19;71;0;15;104;0,1;2;Não Contem Issue;19,69230769
693;judofyr;ruby-oembed;14;37;2;1;241;53;53;209;1510;1,47;51;Contem Issue;34,58543046
694;caillette;novelang;40;85;5;24;2;0;0;0;51808;50,59;125;Contem Issue;2,470660902
695;duritong;puppet-nagios;0;8;0;0;89;106;22;48;624;0,61;8;Contem Issue;13,12820513
696;paul;resourceful;2;3;0;0;50;3;9;67;701;0,68;5;Não Contem Issue;7,303851641
697;relevance;tarantula;12;25;0;0;0;0;32;428;1406;1,37;37;Contem Issue;26,94736842
698;alx;rfeedfinder;1;0;0;0;85;39;3;9;250;0,24;1;Não Contem Issue;4,096
699;potionfactory;potionstore;3;3;0;0;70;0;37;341;8115;7,92;6;Contem Issue;0,757116451
700;jkramer;post-fm;2;0;0;0;42;13;6;15;107;0,1;2;Não Contem Issue;19,14018692
701;swdyh;quilt;1;2;0;0;177;57;5;50;204;0,2;3;Não Contem Issue;15,05882353
702;maxlapshin;nmea;0;1;0;0;283;6;3;14;238;0,23;1;Não Contem Issue;4,302521008
703;maxlapshin;exiv2;2;0;0;0;283;6;0;10;175;0,17;2;Não Contem Issue;11,70285714
704;esobchenko;rest-google;2;0;0;0;2;0;4;6;131;0,13;2;Não Contem Issue;15,63358779
705;esobchenko;cache-weak;1;0;0;0;2;0;2;2;110;0,11;1;Não Contem Issue;9,309090909
706;jomz;radiant-tags-extension;4;25;0;0;38;12;28;38;385;0,38;29;Contem Issue;77,13246753
707;rmm5t;strip_attributes;3;26;0;0;230;35;33;156;622;0,61;29;Contem Issue;47,74276527
708;raggi;github_post_receive_server;0;5;0;0;338;82;37;96;122;0,12;5;Não Contem Issue;41,96721311
709;github-archive;albino;6;8;0;0;0;0;28;231;156;0,15;14;Contem Issue;91,8974359
710;github-archive;jquery-hotkeys;0;1;0;0;0;0;16;100;105;0,1;1;Não Contem Issue;9,752380952
711;github-archive;jquery-relatize_date;0;5;0;0;0;0;19;113;209;0,2;5;Não Contem Issue;24,49760766
712;carlosbrando;autotest-notification;6;15;0;0;509;32;29;194;1941;1,9;21;Contem Issue;11,07882535
713;psychs;cocoaoniguruma;2;7;0;0;325;49;17;84;1410;1,38;9;Contem Issue;6,536170213
714;naoya;mapreduce-lite;1;0;0;0;975;29;2;17;131;0,13;1;Não Contem Issue;7,816793893
715;mislav;dotfiles;3;8;0;0;1673;20;58;405;845;0,83;11;Contem Issue;13,33017751
716;penso;actionmailer_x509;2;0;0;0;61;87;6;7;88;0,09;2;Não Contem Issue;23,27272727
717;alx;pressmark;0;1;0;0;85;39;10;45;5902;5,76;1;Não Contem Issue;0,173500508
718;duritong;puppet-munin;1;48;0;0;89;106;35;26;1320;1,29;49;Contem Issue;38,01212121
719;jkriss;monomic;0;1;0;0;38;0;1;12;9224;9,01;1;Não Contem Issue;0,111014744
720;ctagg;flickr;0;3;0;0;3;1;29;76;135;0,13;3;Não Contem Issue;22,75555556
721;rmm5t;dotfiles;0;6;0;0;230;35;76;272;1408;1,38;6;Contem Issue;4,363636364
722;puls;tournament-director;20;5;2;1;66;13;2;8;3462;3,38;25;Contem Issue;7,394569613
723;mk;reports_as_sparkline;0;1;0;0;15;22;7;36;682;0,67;1;Não Contem Issue;1,501466276
724;marc-lorber;oregano;20;1;0;0;7;0;15;84;3206;3,13;21;Contem Issue;6,707423581
725;TekNoLogic;teknicolor;0;6;0;0;0;0;0;4;186;0,18;6;Contem Issue;33,03225806
726;markcatley;responds_to_parent;2;5;0;0;10;3;39;85;133;0,13;7;Contem Issue;53,89473684
727;technomancy;dotfiles;0;1;0;0;1290;0;8;130;11726;11,45;1;Não Contem Issue;0,087327307
728;zerowidth;iphone_data;0;1;0;0;127;2;0;3;108;0,11;1;Não Contem Issue;9,481481481
